Run   Combination (x1,x2,x3,...)                                                       R_c_ass (AC)              Porosity_ass (AC)         eval (f)                  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
256   (6,2,4,3,1,1,2,4,40,7000)                                                        8.182165                  0.752340                  7.429825                 
257   (5,5,2,3,3,1,3,1,15,11450)                                                       8.489877                  0.696754                  7.793123                 
258   (2,4,4,3,1,2,3,3,23,1200)                                                        11.411870                 0.666313                  10.745557                
259   (4,3,1,2,2,3,2,3,21,10550)                                                       10.085945                 0.653431                  9.432514                 
260   (1,5,4,1,2,2,1,2,30,10750)                                                       9.819802                  0.754297                  9.065504                 
261   (1,5,2,3,2,1,1,3,38,2600)                                                        11.220954                 0.795259                  10.425695                
262   (4,3,4,1,3,3,2,2,48,2050)                                                        13.300239                 0.739246                  12.560993                
263   (3,3,2,3,3,2,2,4,8,7800)                                                         10.698248                 0.667244                  10.031005                
264   (3,3,3,2,3,2,1,3,14,2200)                                                        13.305337                 0.739439                  12.565898                
265   (5,1,5,2,1,2,2,2,20,1400)                                                        11.683558                 0.847338                  10.836220                
266   (4,2,1,2,1,2,2,3,50,4400)                                                        8.421057                  0.757253                  7.663803                 
267   (5,4,2,2,1,3,2,3,18,4850)                                                        9.760977                  0.611766                  9.149211                 
268   (6,3,1,2,2,1,2,2,45,1150)                                                        13.341921                 0.740832                  12.601088                
269   (6,3,4,2,2,1,1,3,12,8250)                                                        11.740414                 0.692257                  11.048157                
270   (4,4,3,2,2,1,3,2,12,6550)                                                        10.237180                 0.622958                  9.614221                 
271   (2,4,2,2,2,3,3,2,49,11850)                                                       7.634896                  0.572097                  7.062799                 
272   (3,4,4,2,2,2,2,2,48,2600)                                                        11.174298                 0.654042                  10.520255                
273   (5,3,4,3,2,3,3,2,33,11050)                                                       10.886060                 0.671598                  10.214462                
